Day	Time	Open	High	Low	Close	Volume
29.04.2019	00:00	5.93387	5.93387	5.93387	5.93387	0
29.04.2019	00:01	5.93275	5.93479	5.93275	5.93479	2250000
29.04.2019	00:02	5.93480	5.93480	5.93478	5.93478	1500000
29.04.2019	00:03	5.93478	5.93478	5.93478	5.93478	750000
29.04.2019	00:04	5.93500	5.93501	5.93313	5.93313	3000000
29.04.2019	00:05	5.93313	5.93313	5.93313	5.93313	750000
29.04.2019	00:06	5.93313	5.93313	5.93313	5.93313	750000
29.04.2019	00:07	5.93313	5.93501	5.93313	5.93500	3000000
29.04.2019	00:08	5.93500	5.94185	5.93313	5.94126	11250000
29.04.2019	00:09	5.94048	5.94048	5.93878	5.94048	3750000
29.04.2019	00:10	5.94048	5.94048	5.94048	5.94048	0
29.04.2019	00:11	5.94047	5.94047	5.94047	5.94047	750000
29.04.2019	00:12	5.94197	5.94203	5.94195	5.94203	2250000
29.04.2019	00:13	5.93958	5.94204	5.93958	5.94204	3750000
29.04.2019	00:14	5.94208	5.94210	5.94208	5.94210	3750000
29.04.2019	00:15	5.94203	5.94203	5.93959	5.93959	4500000
29.04.2019	00:16	5.93959	5.94247	5.93944	5.94247	123100004196
29.04.2019	00:17	5.94247	5.94276	5.94247	5.94276	18500000238
29.04.2019	00:18	5.94276	5.94277	5.94276	5.94277	11100000143
29.04.2019	00:19	5.94277	5.94277	5.94277	5.94277	7400000095
29.04.2019	00:20	5.94277	5.94277	5.94277	5.94277	3700000048
29.04.2019	00:21	5.94277	5.94277	5.94277	5.94277	0
29.04.2019	00:22	5.94277	5.94277	5.94276	5.94276	11100000143
29.04.2019	00:23	5.94276	5.94276	5.94276	5.94276	0
29.04.2019	00:24	5.94276	5.94277	5.94276	5.94277	11100000143
29.04.2019	00:25	5.94277	5.94277	5.94277	5.94277	7400000095
29.04.2019	00:26	5.94277	5.94277	5.94276	5.94276	11100000143
29.04.2019	00:27	5.94276	5.94277	5.94276	5.94277	11100000143
29.04.2019	00:28	5.94277	5.94277	5.94277	5.94277	0
29.04.2019	00:29	5.94276	5.94276	5.94276	5.94276	3700000048
29.04.2019	00:30	5.94276	5.94276	5.94273	5.94273	48099999428
29.04.2019	00:31	5.94273	5.94287	5.94273	5.94287	37000000477
29.04.2019	00:32	5.94287	5.94287	5.94287	5.94287	7400000095
29.04.2019	00:33	5.94287	5.94287	5.94287	5.94287	7400000095
29.04.2019	00:34	5.94287	5.94287	5.94286	5.94286	14800000191
29.04.2019	00:35	5.94286	5.94300	5.94286	5.94300	26099998951
29.04.2019	00:36	5.94300	5.94318	5.94300	5.94304	7500000
29.04.2019	00:37	5.94295	5.94295	5.94286	5.94286	183700008392
29.04.2019	00:38	5.94286	5.94293	5.94286	5.94292	22400000095
29.04.2019	00:39	5.94287	5.94292	5.94287	5.94292	14900000095
29.04.2019	00:40	5.94287	5.94293	5.94287	5.94293	11200000048
29.04.2019	00:41	5.94291	5.94293	5.94286	5.94286	163199996948
29.04.2019	00:42	5.94286	5.94293	5.94286	5.94286	19250000
29.04.2019	00:43	5.94286	5.94294	5.94286	5.94286	55700001717
29.04.2019	00:44	5.94286	5.94294	5.94286	5.94287	144399995804
29.04.2019	00:45	5.94287	5.94294	5.94287	5.94294	11200000048
29.04.2019	00:46	5.94287	5.94297	5.94287	5.94296	29900000095
29.04.2019	00:47	5.94293	5.94294	5.94287	5.94293	63600001335
29.04.2019	00:48	5.94287	5.94294	5.94287	5.94294	163099994659
29.04.2019	00:49	5.94287	5.94293	5.94287	5.94293	11200000048
29.04.2019	00:50	5.94287	5.94287	5.94287	5.94287	11100000143
29.04.2019	00:51	5.94293	5.94339	5.94293	5.94339	4500000
29.04.2019	00:52	5.94339	5.94378	5.94339	5.94378	4500000
29.04.2019	00:53	5.94383	5.94383	5.94383	5.94383	2250000
29.04.2019	00:54	5.94384	5.94384	5.94372	5.94372	3750000
29.04.2019	00:55	5.94371	5.94372	5.94291	5.94291	4500000
29.04.2019	00:56	5.94287	5.94292	5.94287	5.94292	14900000095
29.04.2019	00:57	5.94290	5.94290	5.94290	5.94290	750000
29.04.2019	00:58	5.94287	5.94290	5.94287	5.94290	11200000048
29.04.2019	00:59	5.94287	5.94291	5.94287	5.94291	11200000048
29.04.2019	01:00	5.94333	5.94390	5.94287	5.94287	201499996185
29.04.2019	01:01	5.94287	5.94297	5.94287	5.94287	11500000
29.04.2019	01:02	5.94287	5.94341	5.94286	5.94340	59800000191
29.04.2019	01:03	5.94338	5.94338	5.94338	5.94338	750000
29.04.2019	01:04	5.94287	5.94343	5.94287	5.94310	267600002289
29.04.2019	01:05	5.94310	5.94310	5.94287	5.94300	144399995804
29.04.2019	01:06	5.94301	5.94301	5.94300	5.94300	5250000
29.04.2019	01:07	5.94300	5.94301	5.94300	5.94301	12000000
29.04.2019	01:08	5.94300	5.94301	5.94300	5.94301	18000000
29.04.2019	01:09	5.94300	5.94301	5.94299	5.94301	18750000
29.04.2019	01:10	5.94301	5.94301	5.94299	5.94300	55500000
29.04.2019	01:11	5.94298	5.94301	5.94298	5.94301	29250000
29.04.2019	01:12	5.94300	5.94301	5.94298	5.94300	33000000
29.04.2019	01:13	5.94301	5.94301	5.94300	5.94300	19500000
29.04.2019	01:14	5.94301	5.94301	5.94300	5.94300	11250000
29.04.2019	01:15	5.94300	5.94301	5.94286	5.94289	273700008392
29.04.2019	01:16	5.94287	5.94289	5.94287	5.94289	11200000048
29.04.2019	01:17	5.94294	5.94294	5.94287	5.94287	129899997711
29.04.2019	01:18	5.94287	5.94287	5.94286	5.94286	244200000763
29.04.2019	01:19	5.94286	5.94287	5.94286	5.94287	122100000381
29.04.2019	01:20	5.94287	5.94287	5.94287	5.94287	77699999809
29.04.2019	01:21	5.94287	5.94287	5.94287	5.94287	44400000572
29.04.2019	01:22	5.94286	5.94330	5.94286	5.94330	40799999237
29.04.2019	01:23	5.94325	5.94328	5.94321	5.94323	6750000
29.04.2019	01:24	5.94325	5.94325	5.94324	5.94324	1500000
29.04.2019	01:25	5.94287	5.94325	5.94287	5.94325	11200000048
29.04.2019	01:26	5.94287	5.94324	5.94287	5.94324	11200000048
29.04.2019	01:27	5.94286	5.94325	5.94286	5.94316	26199998856
29.04.2019	01:28	5.94287	5.94316	5.94287	5.94316	11200000048
29.04.2019	01:29	5.94287	5.94314	5.94287	5.94314	11200000048
29.04.2019	01:30	5.94316	5.94316	5.94316	5.94316	750000
29.04.2019	01:31	5.94287	5.94314	5.94287	5.94314	11200000048
29.04.2019	01:32	5.94287	5.94314	5.94287	5.94314	11200000048
29.04.2019	01:33	5.94287	5.94315	5.94287	5.94315	11200000048
29.04.2019	01:34	5.94286	5.94316	5.94286	5.94316	14900000095
29.04.2019	01:35	5.94287	5.94315	5.94287	5.94315	11200000048
