Week	Stable Sales	Increasing Sales	Sales with Some Fluctuation	Increasing with Some Fluctuation	Increasing with Increasing Fluctuation	Increasing with Decreasing Fluctuation
1	12	12	10	10	10	20
2	13	13	12	12	12	17
3	12	12	12	12	12	12
4	13	14	14	15	15	10
5	12	13	14	15	15	5
6	13	14	15	16	16	11
7	12	14	13	15	14	14
8	13	15	13	15	13	18
9	12	14	11	13	10	20
10	13	16	11	14	13	19
11	12	15	10	13	15	15
12	13	16	12	15	18	14
13	12	16	12	16	20	12
14	13	18	13	18	20	16
15	12	18	13	19	18	18
16	13	19	14	20	14	21
17	12	18	14	20	11	22
18	13	20	14	21	16	22
19	12	20	12	20	20	20
20	13	21	12	20	25	20
21	12	21	11	20	29	19
22	13	23	12	22	27	23
23	12	23	11	22	23	24
24	13	25	13	25	21	27
25	12	24	13	25	16	25
26	13	26	15	28	20	26
