Date	TP KTF10	TP KTF101	TP KTF11	TP KTF12	TP KTF17	TP KTF17 EUR	TP KTF17 USD	TP KTF18	TP KTFTUK	TP KTFTUK01
04-01-2002	74,83		60,75	54,84	62,82	13,09	4,38		66,41	
11-01-2002	78,18		56,20	44,25	56,49	7,62	5,13		71,82	
18-01-2002	75,03		53,16	42,29	67,14	7,15	6,68		71,74	
25-01-2002	71,46		60,71	58,45	50,75	7,74	11,85		69,89	
01-02-2002	73,76		43,19	55,86	54,60	6,16	7,43		67,10	
08-02-2002	75,10		53,57	49,79	62,65	10,08	8,72		72,23	
15-02-2002	69,55		58,50	54,68	55,99	7,31	5,22		67,34	
22-02-2002	68,13		49,72	51,50	60,33				65,64	
01-03-2002	69,78		48,86	53,81	57,04	11,29	7,38		66,29	
08-03-2002	69,97		50,91	54,28	62,77	6,56	5,79		66,65	
15-03-2002	66,00		49,67	54,85	58,74	7,08	6,16		62,71	
22-03-2002	61,94		52,06	50,19	58,73	8,46	4,17		59,90	
29-03-2002	60,09		50,42	52,43	58,86	6,91	8,12		57,57	
05-04-2002	66,86		51,59	49,85	53,70	7,18	5,50		62,50	
12-04-2002	60,82		50,43	50,57	53,96	10,13	6,41		57,85	
19-04-2002	56,86		47,34	48,13	53,75	7,21	6,39		54,64	
26-04-2002	58,39		45,99	49,46	47,49	13,62	7,65		55,10	
03-05-2002	55,60		44,39	47,79	50,53	8,90	8,15		52,25	
10-05-2002	54,23		41,66	44,05	52,43	8,21	6,22		50,35	
17-05-2002	52,06		41,76	42,79	39,69	9,99	6,97		48,84	
24-05-2002	51,03		42,61	45,18	46,70	6,90	7,92		48,29	
31-05-2002	52,66		39,61	43,68	45,52	10,98	7,59		47,55	
07-06-2002	51,68		40,51	43,43	51,75	6,99	6,11		47,48	
14-06-2002	51,82		44,09	44,37	52,39	6,61	6,36		48,97	
21-06-2002	52,64		44,41	43,52	45,95	6,17	19,35		49,62	
28-06-2002	54,87		46,33	47,56	44,11	5,92	5,85		51,35	
05-07-2002	54,91		47,33	47,34	47,59	5,86	3,14		51,35	
12-07-2002	56,43		50,46	50,17	45,21	5,76	8,10		53,67	
19-07-2002	56,72		52,38	44,88	52,33	8,97	8,56		54,80	
26-07-2002	56,94		49,98	50,65	41,76	5,62	6,04		54,13	
02-08-2002	56,45		50,84	49,95	46,06	4,69	8,50		53,57	
09-08-2002	55,76		50,47	50,55	50,58	7,66	6,96		53,30	
16-08-2002	53,90		47,21	48,27	40,17	5,68	4,63		50,75	
23-08-2002	56,02		47,63	49,16	45,57	5,77	4,12		52,52	
30-08-2002	55,10		33,84	40,63	40,10	6,75	5,11		43,30	
06-09-2002	54,27		46,70	46,86	45,85	6,66	6,23		50,87	
13-09-2002	54,33		47,04	48,05	45,79	5,96	6,95		51,16	
20-09-2002	53,99		47,07	44,78	46,54	5,98	6,45		51,91	
27-09-2002	54,00		44,87	47,04	42,46	8,92	6,69		50,03	
04-10-2002	53,44		45,70	49,04	47,82	11,66	7,32		49,75	
11-10-2002	53,85		47,00	48,81	43,67	5,55	17,55		50,60	
18-10-2002	53,98		46,73	48,85	48,16	10,50	4,81		51,16	
25-10-2002	55,07		46,51	49,67	38,98	5,85	5,62		51,95	
01-11-2002	54,11		45,75	47,95	40,06	7,29	4,13		50,17	
08-11-2002	53,88		46,84	47,01	47,48	3,81	3,34		50,68	
15-11-2002	53,62		46,30	50,56	38,80	4,91	4,79		50,99	
22-11-2002	52,65		45,11	47,77	43,27	4,54	4,32		50,14	
29-11-2002	50,80		43,47	46,70	39,99	4,96	4,02		47,76	
06-12-2002	50,77		42,20	45,26	43,01	3,80	6,80		46,78	
13-12-2002	49,70		40,43	45,08	44,92	6,04	5,22		44,86	
20-12-2002	48,90		39,80	43,51	43,98	6,51	6,44		44,51	
27-12-2002	48,56		38,58	43,37	41,32	5,19	3,63		42,69	
03-01-2003	48,51		38,60	44,62	43,70	4,95	3,86		41,91	
10-01-2003	48,85		39,93	44,07	45,76	7,56	5,36		44,33	
17-01-2003	50,06		40,19	42,88	44,79	7,13	6,34		45,23	
24-01-2003	49,41		41,16	44,20	41,66	7,10	6,06		45,61	
31-01-2003	49,76		41,86	44,37	40,23	6,12	5,29		46,36	
07-02-2003	49,53		43,02	42,36	46,17	4,01	6,93		46,52	
14-02-2003	46,73		42,33	45,21	41,50	9,60	5,84		44,79	
21-02-2003	50,21		43,28	44,28	45,94	4,60	6,09		47,99	
28-02-2003	47,62		40,11	41,39	45,69	7,51	6,91		45,16	
07-03-2003	48,48		43,02	42,20	45,63	9,64	4,08		46,14	
14-03-2003	50,66		44,45	45,74	47,77	4,70	6,55		48,74	
21-03-2003	50,94		45,43	46,46	45,72	6,60	5,51		49,44	
28-03-2003	54,36		50,27	48,99	45,39	4,94	5,67		52,91	
04-04-2003	55,04		48,13	49,38	48,30	5,19	2,11		52,91	
11-04-2003	57,03		51,33	50,66	47,91	4,60	5,54		55,23	
18-04-2003	56,46		51,08	50,94	47,76	8,27	5,46		55,16	
25-04-2003	56,40		49,55	50,24	44,12	7,17	4,45		54,39	
02-05-2003	55,44		47,42	47,91	43,22	6,65	5,36		52,51	
09-05-2003	54,09		47,32	46,50	44,22	4,61	2,86		51,19	
16-05-2003	50,32		46,27	44,53	44,15	8,47	6,38		48,85	
23-05-2003	53,49		45,46	43,44	43,18	6,98	5,23		51,00	
30-05-2003	55,84		45,26	44,43	44,92	4,38	3,12		51,95	
06-06-2003	48,35		45,15	42,07	41,02	6,58	6,62		46,89	
13-06-2003	48,86		43,67	44,22	42,44	5,29	6,42		46,86	
20-06-2003	49,69		43,76	43,92	42,69	4,30	4,72		47,87	
27-06-2003	47,39		42,42	43,09	42,52	4,16	5,48		45,51	
04-07-2003	46,56		42,04	42,27	40,87	5,80	3,75		44,52	
11-07-2003	46,60		41,61	40,60	41,14	4,25	5,98		44,22	
18-07-2003	46,62		42,15	39,01	41,43	4,43	4,30		44,82	
25-07-2003	48,72		41,95	41,46	36,40	6,85	5,32		46,47	
01-08-2003	47,78		41,11	40,97	38,53	5,04	5,39		44,85	
08-08-2003	48,96		40,97	40,26	37,92	4,14	5,73		45,96	
15-08-2003	46,77		40,13	39,12	34,03	4,86	5,28		44,01	
22-08-2003	45,44		37,68	38,22	36,59	4,34	5,21		43,22	
29-08-2003	43,92		35,92	37,62	40,96	6,19	4,83		40,70	
05-09-2003	45,67		35,80	37,86	35,70	8,20	4,82		41,56	
12-09-2003	45,26		35,05	37,82	37,77	7,47	8,04		40,87	
19-09-2003	41,28		33,89	38,74	38,27	3,81	4,91		38,68	
26-09-2003	39,61		34,18	36,68	35,57	2,94	5,73		37,40	
03-10-2003	39,61		33,79	35,94	35,34	4,65	2,11		36,93	
10-10-2003	39,73		33,29	35,29	35,92	3,95	4,18		36,70	
17-10-2003	39,67		28,96	32,99	34,57	5,68	4,59		35,50	
24-10-2003	36,23		28,48	32,18	34,12	4,52	6,17		33,00	
31-10-2003	35,49		28,12	32,52	32,18	4,36	4,84		31,94	
07-11-2003	34,37		28,79	30,14	33,87	4,50	5,86		31,46	
14-11-2003	33,98		28,09	31,27	32,60	4,43	4,30		30,74	
21-11-2003	35,43		30,44	31,33	32,16	6,73	4,62		33,10	
28-11-2003	31,51		28,00	32,09	32,41	5,17	5,12		29,83	
05-12-2003	33,73		28,11	30,68	31,32	4,70	5,61		30,73	
12-12-2003	33,83		28,12	30,38	32,39	4,01	3,84		30,75	
19-12-2003	33,33		28,26	29,91	33,14	5,16	5,18		30,92	
26-12-2003	34,07		28,64	29,54	32,19	4,42	4,47		31,21	
02-01-2004	33,86		28,03	29,33	30,78	3,78	4,26		30,12	
09-01-2004	35,62		27,83	28,81	31,18	4,45	4,71		31,56	
16-01-2004	32,98		26,52	28,76	30,46	4,58	5,52		29,76	
23-01-2004	31,97		26,49	28,21	31,58	4,12	4,41		29,74	
30-01-2004	32,68		26,24	27,55	29,35	6,13	5,28		29,81	
06-02-2004	30,97		26,36	27,68	28,88	5,49	4,32		28,46	
13-02-2004	31,82		25,57	26,70	29,53	3,92	7,44		28,81	
20-02-2004	31,24		25,44	26,16	28,63	4,43	5,53		28,64	
27-02-2004	31,04		25,21	26,43	27,53	4,97	5,02		28,01	
05-03-2004	30,61		24,99	26,26	26,97	4,49	4,69		27,55	
12-03-2004	32,58		28,57	25,97	27,80	4,57	7,36		29,56	
19-03-2004	30,35		24,02	25,22	27,76	4,68	7,30		26,98	
26-03-2004	29,62		24,08	25,08	32,46	6,01	4,57		26,08	
02-04-2004	29,35		23,56	24,76	26,67		5,00		25,55	
09-04-2004	30,45		23,17	24,41	26,83	6,12	4,58		26,43	
16-04-2004	28,65		22,78	24,05	26,85	4,41	5,19		25,52	
23-04-2004	28,22		22,64	23,90	26,30	2,97	4,29		25,40	
30-04-2004	27,79		22,37	23,87	24,38	3,93	3,05		24,62	
07-05-2004	28,30		22,76	24,21	27,25	5,01	5,07		25,28	
14-05-2004	28,26		23,51	24,93	27,63	4,07	4,43		25,31	
21-05-2004	29,67		25,21	27,55	26,65	4,46	4,56		27,30	
28-05-2004	30,70		27,31	29,17	24,80	4,68	8,03		29,01	
04-06-2004	33,04		26,91	29,93	26,72	6,07	5,37		29,72	
11-06-2004	34,15		28,01	31,36	27,05	5,93	5,20		31,13	
18-06-2004	33,61		29,18	31,28	27,82	3,75	4,36		31,60	
25-06-2004	33,89		29,20	31,48	27,94	3,53	4,53		31,64	
02-07-2004	34,10		28,32	30,88	26,25	4,66	4,72		31,15	
09-07-2004	33,94		29,07	30,81	27,63	4,75	6,40		31,43	
16-07-2004	33,15		28,62	30,88	27,01	3,99	6,15		31,08	
23-07-2004	32,47		29,07	30,38	27,04	3,20	5,34		31,11	
30-07-2004	32,48		28,21	29,81	25,14	3,40	4,31		30,54	
06-08-2004	32,89		27,80	29,81	25,53	6,59	6,29		30,69	
