Year;Month;Incoming
2006;1;3897
2006;2;2987
2006;3;2784
2006;4;3587
2006;5;4356
2006;6;3574
2006;7;2987
2006;8;2841
2006;9;3987
2006;10;4123
2006;11;3965
2006;12;3784
2007;1;4078
2007;2;3140
2007;3;2974
2007;4;3640
2007;5;4256
2007;6;3004
2007;7;2741
2007;8;3254
2007;9;3684
2007;10;4125
2007;11;4125
2007;12;3257
2008;1;4125
2008;2;2985
2008;3;2987
2008;4;3654
2008;5;4102
2008;6;3210
2008;7;2971
2008;8;3120
2008;9;4250
2008;10;3998
2008;11;4125
2008;12;2984
2009;1;4023
2009;2;2784
2009;3;2958
2009;4;3254
2009;5;4112
2009;6;3568
2009;7;3200
2009;8;3205
2009;9;3901
2009;10;4502
2009;11;4023
2009;12;3965
2010;1;4356
2010;2;2785
2010;3;2874
2010;4;3314
2010;5;4236
2010;6;4356
2010;7;2658
2010;8;2792
2010;9;3897
2010;10;4520
2010;11;4325
2010;12;3789
2011;1;4125
2011;2;3056
2011;3;2954
2011;4;3541
2011;5;4123
2011;6;2963
2011;7;3501
2011;8;3012
2011;9;4321
2011;10;4258
2011;11;4078
2011;12;4152
2012;1;4251
2012;2;3102
2012;3;2812
2012;4;3355
2012;5;3555
2012;6;3254
2012;7;2901
2012;8;3045
2012;9;4125
2012;10;3874
2012;11;4125
2012;12;3986
2013;1;3971
2013;2;3004
2013;3;2879
2013;4;3652
2013;5;3892
2013;6;3328
2013;7;3354
2013;8;2985
2013;9;3965
2013;10;3879
2013;11;4356
2013;12;4251
2014;1;4325
2014;2;2963
2014;3;2930
2014;4;3650
2014;5;4101
2014;6;3102
2014;7;2367
2014;8;3025
2014;9;4125
2014;10;3962
2014;11;4012
2014;12;3917
2015;1;4023
2015;2;3258
2015;3;2940
2015;4;3401
2015;5;4150
2015;6;3355
2015;7;3321
2015;8;3254
2015;9;4100
2015;10;3854
2015;11;4157
2015;12;3815
2016;1;4489
2016;2;3210
2016;3;2784
2016;4;3874
2016;5;4111
2016;6;3214
2016;7;3214
2016;8;2658
2016;9;4078
2016;10;4369
2016;11;3965
2016;12;3982
2017;1;4125
2017;2;3254
2017;3;2987
2017;4;3255
2017;5;4123
2017;6;3258
2017;7;3650
2017;8;3045
2017;9;4210
2017;10;4458
2017;11;4001
2017;12;3964
2018;1;4325
2018;2;3600
2018;3;2961
2018;4;3457
2018;5;4356
2018;6;3652
2018;7;3101
2018;8;3025
2018;9;4356
2018;10;4125
2018;11;3954
2018;12;4215
